0
"POLYGON ((10.79275245 106.699113, 10.79275245 106.69996105, 10.792113 106.69996105, 10.792113 106.699113, 10.79275245 106.699113))"
"POLYGON ((10.77820225 106.6819511, 10.77820225 106.68472795, 10.7761141 106.68472795, 10.7761141 106.6819511, 10.77820225 106.6819511))"
"POLYGON ((10.7757651 106.68538115, 10.7757651 106.6878771, 10.7745033 106.6878771, 10.7745033 106.68538115, 10.7757651 106.68538115))"
"POLYGON ((10.78382615 106.69024205, 10.78382615 106.6908622, 10.78315515 106.6908622, 10.78315515 106.69024205, 10.78382615 106.69024205))"
"POLYGON ((10.78551995 106.68864165, 10.78551995 106.689677, 10.78449895 106.689677, 10.78449895 106.68864165, 10.78551995 106.68864165))"
"POLYGON ((10.78632325 106.69350635, 10.78632325 106.69479855, 10.78566845 106.69479855, 10.78566845 106.69350635, 10.78632325 106.69350635))"
"POLYGON ((10.7828959 106.69756105, 10.7828959 106.6984361, 10.7823564 106.6984361, 10.7823564 106.69756105, 10.7828959 106.69756105))"
"POLYGON ((10.78187335 106.69922465, 10.78187335 106.70017985, 10.78100095 106.70017985, 10.78100095 106.69922465, 10.78187335 106.69922465))"
"POLYGON ((10.7738767 106.68889585, 10.7738767 106.689811, 10.77337085 106.689811, 10.77337085 106.68889585, 10.7738767 106.68889585))"
"POLYGON ((10.7711522 106.68978595, 10.7711522 106.69300875, 10.7688753 106.69300875, 10.7688753 106.68978595, 10.7711522 106.68978595))"
"POLYGON ((10.7709463 106.69362725, 10.7709463 106.69458795, 10.7692754 106.69458795, 10.7692754 106.69362725, 10.7709463 106.69362725))"
"POLYGON ((10.7712482 106.6988751, 10.7712482 106.6992533, 10.7710395 106.6992533, 10.7710395 106.6988751, 10.7712482 106.6988751))"
"POLYGON ((10.76933465 106.70213595, 10.76933465 106.70557075, 10.76783985 106.70557075, 10.76783985 106.70213595, 10.76933465 106.70213595))"
"POLYGON ((10.77827505 106.70320685, 10.77827505 106.70402325, 10.7774878 106.70402325, 10.7774878 106.70320685, 10.77827505 106.70320685))"
"POLYGON ((10.7865923 106.70146485, 10.7865923 106.703074, 10.7851799 106.703074, 10.7851799 106.70146485, 10.7865923 106.70146485))"
"POLYGON ((10.7862223 106.680885, 10.7862223 106.6810339, 10.7860683 106.6810339, 10.7860683 106.680885, 10.7862223 106.680885))"
"POLYGON ((10.7870684 106.69028865, 10.7870684 106.6911679, 10.7861568 106.6911679, 10.7861568 106.69028865, 10.7870684 106.69028865))"
"POLYGON ((10.769164 106.69527025, 10.769164 106.6965275, 10.76800265 106.6965275, 10.76800265 106.69527025, 10.769164 106.69527025))"
"POLYGON ((10.79259665 106.69591745, 10.79259665 106.6959397, 10.7921198 106.6959397, 10.7921198 106.69591745, 10.79259665 106.69591745))"
"POLYGON ((10.78308875 106.6864718, 10.78308875 106.68663765, 10.78293905 106.68663765, 10.78293905 106.6864718, 10.78308875 106.6864718))"
"POLYGON ((10.78256875 106.7058263, 10.78256875 106.70620405, 10.7751274 106.70620405, 10.7751274 106.7058263, 10.78256875 106.7058263))"
