0
"POLYGON ((10.79275245 106.69642045, 10.79275245 106.69996105, 10.78924265 106.69996105, 10.78924265 106.69642045, 10.79275245 106.69642045))"
"POLYGON ((10.78972085 106.68404445, 10.78972085 106.6850122, 10.78875145 106.6850122, 10.78875145 106.68404445, 10.78972085 106.68404445))"
"POLYGON ((10.7842129 106.69885105, 10.7842129 106.6992869, 10.7837108 106.6992869, 10.7837108 106.69885105, 10.7842129 106.69885105))"
"POLYGON ((10.78597315 106.69962505, 10.78597315 106.70096075, 10.7844214 106.70096075, 10.7844214 106.69962505, 10.78597315 106.69962505))"
"POLYGON ((10.7721542 106.69218905, 10.7721542 106.69266765, 10.77179325 106.69266765, 10.77179325 106.69218905, 10.7721542 106.69218905))"
"POLYGON ((10.7708651 106.70461195, 10.7708651 106.7054934, 10.77072215 106.7054934, 10.77072215 106.70461195, 10.7708651 106.70461195))"
"POLYGON ((10.78425875 106.7039946, 10.78425875 106.704771, 10.7835424 106.704771, 10.7835424 106.7039946, 10.78425875 106.7039946))"
"POLYGON ((10.7847312 106.7076673, 10.7847312 106.7081837, 10.78419455 106.7081837, 10.78419455 106.7076673, 10.7847312 106.7076673))"
"POLYGON ((10.79296415 106.70726035, 10.79296415 106.70765915, 10.7925855 106.70765915, 10.7925855 106.70726035, 10.79296415 106.70726035))"
"POLYGON ((10.78827325 106.6854545, 10.78827325 106.6861111, 10.78766305 106.6861111, 10.78766305 106.6854545, 10.78827325 106.6854545))"
"POLYGON ((10.7681242 106.68873785, 10.7681242 106.68902875, 10.76779045 106.68902875, 10.76779045 106.68873785, 10.7681242 106.68873785))"
