0
"POLYGON ((10.79275245 106.69642045, 10.79275245 106.69996105, 10.78924265 106.69996105, 10.78924265 106.69642045, 10.79275245 106.69642045))"
"POLYGON ((10.77820225 106.68105355, 10.77820225 106.68472795, 10.7761141 106.68472795, 10.7761141 106.68105355, 10.77820225 106.68105355))"
"POLYGON ((10.7757651 106.68538115, 10.7757651 106.6883096, 10.77419805 106.6883096, 10.77419805 106.68538115, 10.7757651 106.68538115))"
"POLYGON ((10.78407315 106.69022645, 10.78407315 106.69146405, 10.7828352 106.69146405, 10.7828352 106.69022645, 10.78407315 106.69022645))"
"POLYGON ((10.78650005 106.68737355, 10.78650005 106.689677, 10.78449895 106.689677, 10.78449895 106.68737355, 10.78650005 106.68737355))"
"POLYGON ((10.7870409 106.69350635, 10.7870409 106.69479855, 10.78562145 106.69479855, 10.78562145 106.69350635, 10.7870409 106.69350635))"
"POLYGON ((10.7828959 106.69756105, 10.7828959 106.6984361, 10.7823564 106.6984361, 10.7823564 106.69756105, 10.7828959 106.69756105))"
"POLYGON ((10.78187335 106.69922465, 10.78187335 106.70017985, 10.78100095 106.70017985, 10.78100095 106.69922465, 10.78187335 106.69922465))"
"POLYGON ((10.77414415 106.68628555, 10.77414415 106.6900356, 10.77019535 106.6900356, 10.77019535 106.68628555, 10.77414415 106.68628555))"
"POLYGON ((10.7711522 106.68978595, 10.7711522 106.69300875, 10.7688295 106.69300875, 10.7688295 106.68978595, 10.7711522 106.68978595))"
"POLYGON ((10.7709463 106.69362725, 10.7709463 106.69458795, 10.7692754 106.69458795, 10.7692754 106.69362725, 10.7709463 106.69362725))"
"POLYGON ((10.77191875 106.6982739, 10.77191875 106.6992533, 10.7710395 106.6992533, 10.7710395 106.6982739, 10.77191875 106.6982739))"
"POLYGON ((10.7718226 106.7019766, 10.7718226 106.70640205, 10.76783985 106.70640205, 10.76783985 106.7019766, 10.7718226 106.7019766))"
"POLYGON ((10.77827505 106.70320685, 10.77827505 106.70402325, 10.7774878 106.70402325, 10.7774878 106.70320685, 10.77827505 106.70320685))"
"POLYGON ((10.788450050000002 106.70109715, 10.788450050000002 106.7037742, 10.7844621 106.7037742, 10.7844621 106.70109715, 10.788450050000002 106.70109715))"
"POLYGON ((10.7862223 106.680885, 10.7862223 106.6834043, 10.78476805 106.6834043, 10.78476805 106.680885, 10.7862223 106.680885))"
"POLYGON ((10.7870684 106.69028865, 10.7870684 106.6911679, 10.7861568 106.6911679, 10.7861568 106.69028865, 10.7870684 106.69028865))"
"POLYGON ((10.7699757 106.69527025, 10.7699757 106.6970517, 10.767846 106.6970517, 10.767846 106.69527025, 10.7699757 106.69527025))"
"POLYGON ((10.79305715 106.69571525, 10.79305715 106.69596385, 10.791699 106.69596385, 10.791699 106.69571525, 10.79305715 106.69571525))"
"POLYGON ((10.7921977 106.6865391, 10.7921977 106.69072225, 10.78885215 106.69072225, 10.78885215 106.6865391, 10.7921977 106.6865391))"
"POLYGON ((10.77612885 106.68208275, 10.77612885 106.68301305, 10.7753606 106.68301305, 10.7753606 106.68208275, 10.77612885 106.68208275))"
"POLYGON ((10.7843397 106.68465015, 10.7843397 106.6871574, 10.78215125 106.6871574, 10.78215125 106.68465015, 10.7843397 106.68465015))"
"POLYGON ((10.7832477 106.7052682, 10.7832477 106.707971, 10.7731526 106.707971, 10.7731526 106.7052682, 10.7832477 106.7052682))"
"POLYGON ((10.77500895 106.68102905, 10.77500895 106.6816741, 10.7744499 106.6816741, 10.7744499 106.68102905, 10.77500895 106.68102905))"
"POLYGON ((10.7888641 106.691756, 10.7888641 106.69284895, 10.78768705 106.69284895, 10.78768705 106.691756, 10.7888641 106.691756))"
"POLYGON ((10.7912685 106.70499715, 10.7912685 106.7059621, 10.7902309 106.7059621, 10.7902309 106.70499715, 10.7912685 106.70499715))"
"POLYGON ((10.79115235 106.68231945, 10.79115235 106.68323235, 10.79031375 106.68323235, 10.79031375 106.68231945, 10.79115235 106.68231945))"
"POLYGON ((10.79232145 106.68101645, 10.79232145 106.68132505, 10.79214515 106.68132505, 10.79214515 106.68101645, 10.79232145 106.68101645))"
